               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,             0.11806,             0.24714,            0.040545,           0.0089627,            0.063432,           0.0081544,           0.0019039,             0.11417,             0.18368,            0.041812,            0.067692,           0.0026915,           0.0026915
                  36,             0.11597,              0.1892,            0.040379,            0.011461,            0.080344,           0.0084609,           0.0018826,             0.11346,             0.18559,            0.041528,            0.066745,           0.0027446,           0.0027446
                  37,             0.12176,             0.19039,            0.041546,            0.011461,            0.080344,           0.0084609,           0.0018826,             0.11346,             0.18559,            0.041528,            0.065796,           0.0027965,           0.0027965
                  38,             0.11987,              0.1687,            0.039863,             0.01378,            0.096604,           0.0091282,           0.0019129,              0.1124,             0.18777,            0.041327,            0.064847,            0.002847,            0.002847
                  39,             0.11817,             0.16002,            0.039973,             0.01378,            0.096604,           0.0091282,           0.0019129,              0.1124,             0.18777,            0.041327,            0.063896,           0.0028961,           0.0028961
                  40,               0.117,             0.17002,            0.040152,            0.011848,            0.077481,           0.0068835,           0.0018624,             0.11277,             0.18426,            0.041254,            0.062944,            0.002944,            0.002944
                  41,             0.11527,             0.28984,            0.040334,            0.011848,            0.077481,           0.0068835,           0.0018624,             0.11277,             0.18426,            0.041254,            0.061991,           0.0029905,           0.0029905
                  42,              0.1213,             0.29884,            0.040351,            0.017895,             0.13048,            0.011004,           0.0025845,             0.11279,             0.18167,            0.040366,            0.061036,           0.0030358,           0.0030358
                  43,             0.12366,             0.28462,            0.039774,            0.017895,             0.13048,            0.011004,           0.0025845,             0.11279,             0.18167,            0.040366,             0.06008,           0.0030797,           0.0030797
                  44,             0.11256,             0.15746,            0.040055,            0.020265,             0.13409,            0.012497,           0.0028056,             0.11313,             0.17838,            0.040594,            0.059122,           0.0031222,           0.0031222
                  45,              0.1163,             0.20009,            0.039668,            0.020265,             0.13409,            0.012497,           0.0028056,             0.11313,             0.17838,            0.040594,            0.058163,           0.0031635,           0.0031635
                  46,             0.11423,             0.18396,            0.040111,            0.015074,             0.10804,           0.0099265,           0.0023846,             0.11312,             0.17756,             0.04086,            0.057203,           0.0032034,           0.0032034
                  47,             0.11646,             0.24819,            0.039542,            0.015074,             0.10804,           0.0099265,           0.0023846,             0.11312,             0.17756,             0.04086,            0.056242,           0.0032421,           0.0032421
                  48,             0.12212,             0.26738,            0.038242,            0.020719,             0.13409,            0.012601,            0.002487,             0.11309,              0.1748,            0.040155,            0.055279,           0.0032794,           0.0032794
                  49,             0.11934,             0.26877,            0.038296,            0.020719,             0.13409,            0.012601,            0.002487,             0.11309,              0.1748,            0.040155,            0.054315,           0.0033153,           0.0033153
